Div,date,Time,home_team,away_team,home_goals,away_goals,FTR,HTHG,HTAG,HTR,Referee,home_shots,away_shots,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,home_odds,draw_odds,away_odds,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,home_form,away_form,h2h_key,h2h_win_rate
E0,2023-08-21,20:00,Crystal Palace,Arsenal,0,1,A,0,0,D,D Coote,14,14,2,3,14,10,1,8,2,1,0,1,5.5,4.0,1.6,5.75,4.1,1.57,5.75,4.1,1.6,5.73,4.12,1.63,5.5,3.9,1.44,6.0,3.9,1.55,6.0,4.33,1.68,5.79,4.06,1.6,1.94,1.96,1.95,1.93,2.0,1.97,1.92,1.9,1.0,1.84,2.06,1.81,2.11,1.88,2.16,1.82,2.05,4.2,3.4,1.91,4.1,3.5,1.88,4.2,3.5,1.9,4.51,3.53,1.93,4.0,3.4,1.73,4.5,3.6,1.83,4.95,3.9,1.98,4.42,3.55,1.89,2.0,1.8,2.12,1.79,2.14,1.93,2.05,1.8,0.5,2.0,1.93,2.0,1.93,2.19,1.96,2.01,1.87,0.0,1.0,"frozenset({'Crystal Palace', 'Arsenal'})",0.0
E0,2023-09-17,16:30,Everton,Arsenal,0,1,A,0,0,D,S Hooper,8,13,1,4,12,10,1,11,1,1,0,0,6.0,4.5,1.5,5.75,4.5,1.52,5.75,4.4,1.55,6.3,4.54,1.53,5.8,4.2,1.4,6.0,4.33,1.5,6.5,4.75,1.57,6.07,4.55,1.52,1.67,2.2,1.67,2.3,1.7,2.36,1.65,2.27,1.0,2.05,1.85,2.03,1.88,2.08,1.89,2.02,1.85,5.5,4.33,1.55,5.5,4.33,1.55,5.5,4.4,1.55,6.0,4.3,1.59,5.8,4.2,1.4,6.0,4.33,1.53,6.68,4.61,1.64,5.74,4.37,1.57,1.73,2.1,1.75,2.17,1.92,2.35,1.68,2.23,1.0,1.94,1.99,1.94,1.98,2.01,2.05,1.92,1.95,0.0,1.0,"frozenset({'Arsenal', 'Everton'})",1.0
E0,2023-09-30,15:00,Bournemouth,Arsenal,0,4,A,0,2,A,M Salisbury,8,15,1,8,11,10,6,6,0,1,0,0,5.5,4.5,1.53,5.75,4.6,1.51,5.5,4.6,1.53,5.59,4.77,1.56,5.8,4.5,1.5,6.0,4.33,1.5,6.0,4.9,1.58,5.77,4.68,1.53,1.53,2.5,1.57,2.5,1.58,2.56,1.54,2.49,1.0,2.0,1.93,2.01,1.9,2.06,1.93,2.01,1.85,5.5,4.5,1.53,6.0,4.4,1.52,5.75,4.5,1.53,6.06,4.62,1.55,6.5,4.6,1.44,6.5,4.33,1.5,6.5,4.8,1.59,6.03,4.55,1.53,1.62,2.3,1.62,2.41,1.7,2.42,1.64,2.32,1.0,2.03,1.9,2.04,1.89,2.08,1.93,2.02,1.86,0.25,2.0,"frozenset({'Arsenal', 'Bournemouth'})",1.0
E0,2023-10-21,17:30,Chelsea,Arsenal,2,2,D,1,0,H,C Kavanagh,11,13,5,3,7,14,2,7,3,3,0,0,3.2,3.4,2.25,3.1,3.4,2.2,3.15,3.45,2.25,3.33,3.5,2.26,3.0,3.5,2.25,3.25,3.3,2.2,3.4,3.56,2.36,3.24,3.47,2.26,1.98,1.92,1.99,1.9,2.01,1.98,1.92,1.9,0.25,1.96,1.97,1.96,1.94,2.0,2.01,1.91,1.93,3.3,3.25,2.25,3.2,3.25,2.25,3.25,3.2,2.3,3.35,3.44,2.31,3.25,3.2,2.25,3.25,3.3,2.3,3.5,3.5,2.41,3.3,3.33,2.32,2.05,1.85,2.04,1.88,2.19,1.88,2.07,1.79,0.25,1.94,1.99,1.94,1.98,1.95,2.06,1.89,1.97,1.2,2.0,"frozenset({'Chelsea', 'Arsenal'})",0.0
E0,2023-11-04,17:30,Newcastle,Arsenal,1,0,H,0,0,D,S Attwell,9,14,2,1,14,9,0,11,5,1,0,0,2.8,3.2,2.6,2.8,3.4,2.45,2.8,3.35,2.55,2.83,3.41,2.59,2.7,3.4,2.45,2.75,3.3,2.5,2.89,3.5,2.65,2.82,3.39,2.56,1.95,1.95,1.95,1.93,2.0,1.96,1.92,1.91,0.0,2.06,1.87,2.04,1.87,2.08,1.88,2.02,1.84,2.8,3.0,2.7,2.75,3.2,2.6,2.75,3.2,2.7,2.84,3.23,2.73,2.75,3.2,2.5,2.7,3.2,2.7,2.94,3.35,2.83,2.8,3.23,2.68,2.1,1.7,2.17,1.76,2.24,1.81,2.12,1.75,0.0,2.03,1.9,2.0,1.93,2.07,2.0,1.97,1.91,1.8,1.6,"frozenset({'Newcastle', 'Arsenal'})",1.0
E0,2023-11-25,17:30,Brentford,Arsenal,0,1,A,0,0,D,T Robinson,9,15,3,4,9,7,1,8,1,1,0,0,4.5,3.75,1.75,4.5,3.75,1.75,4.5,3.8,1.77,4.74,3.82,1.78,4.33,3.75,1.73,4.75,3.6,1.73,5.0,4.01,1.8,4.64,3.84,1.77,1.9,2.0,1.92,1.97,1.94,2.03,1.88,1.96,0.75,1.91,2.02,1.89,2.02,1.92,2.04,1.87,1.97,5.5,3.8,1.6,5.5,4.0,1.6,5.75,4.1,1.6,5.8,4.05,1.65,5.5,4.0,1.55,6.0,4.0,1.57,6.18,4.2,1.72,5.73,4.06,1.61,1.96,1.94,1.97,1.93,1.99,2.0,1.91,1.93,0.75,2.03,1.78,2.11,1.83,2.17,1.87,2.11,1.78,1.8,1.6,"frozenset({'Arsenal', 'Brentford'})",1.0
E0,2023-12-05,20:15,Luton,Arsenal,3,4,A,1,2,A,S Barrott,6,23,4,9,14,7,3,8,2,1,0,0,17.0,7.0,1.18,14.0,6.5,1.22,15.0,6.75,1.2,14.73,6.77,1.22,15.0,6.5,1.17,17.0,6.5,1.2,17.0,7.2,1.25,14.98,6.73,1.21,1.65,2.2,1.66,2.3,1.72,2.44,1.64,2.28,1.75,2.01,1.92,2.04,1.88,2.07,1.92,2.01,1.86,17.0,8.0,1.17,14.0,6.75,1.21,15.0,6.75,1.2,15.5,7.25,1.2,15.0,6.5,1.17,17.0,7.0,1.18,19.0,8.08,1.31,16.38,7.06,1.2,1.62,2.25,1.67,2.29,1.68,2.48,1.63,2.31,1.75,2.14,1.8,2.11,1.82,2.14,1.85,2.07,1.81,1.4,2.2,"frozenset({'Luton', 'Arsenal'})",0.0
E0,2023-12-09,17:30,Aston Villa,Arsenal,1,0,H,1,0,H,J Gillett,10,12,3,5,16,11,3,3,4,2,0,0,3.3,3.6,2.1,3.4,3.7,2.05,3.25,3.6,2.15,3.43,3.69,2.12,3.2,3.75,2.0,3.3,3.5,2.05,3.55,3.84,2.17,3.41,3.66,2.11,1.7,2.1,1.75,2.16,1.79,2.21,1.72,2.15,0.25,2.05,1.85,2.06,1.85,2.09,1.87,2.03,1.82,3.6,3.75,2.0,3.5,3.6,2.0,3.55,3.65,2.0,3.65,3.87,2.02,3.4,3.7,1.95,3.7,3.6,2.0,3.8,3.89,2.12,3.62,3.72,2.03,1.73,2.08,1.76,2.17,1.86,2.21,1.75,2.12,0.5,1.9,2.03,1.9,2.03,1.91,2.07,1.86,2.02,2.4,1.4,"frozenset({'Arsenal', 'Aston Villa'})",0.0
E0,2023-12-23,17:30,Liverpool,Arsenal,1,1,D,1,1,D,C Kavanagh,13,13,3,2,13,14,4,5,2,5,0,0,2.38,3.6,2.8,2.35,3.6,2.8,2.45,3.6,2.75,2.47,3.63,2.84,2.3,3.6,2.75,2.3,3.4,2.8,2.53,3.78,3.05,2.43,3.63,2.83,1.7,2.1,1.71,2.23,1.77,2.28,1.69,2.2,-0.25,2.1,1.8,2.14,1.78,2.14,1.83,2.08,1.79,2.45,3.75,2.63,2.45,3.5,2.7,2.45,3.5,2.8,2.52,3.66,2.8,2.38,3.6,2.7,2.45,3.6,2.75,2.56,3.83,3.03,2.47,3.63,2.79,1.6,2.3,1.64,2.37,1.71,2.5,1.63,2.3,0.0,1.86,2.07,1.86,2.07,1.89,2.17,1.82,2.07,2.2,1.2,"frozenset({'Liverpool', 'Arsenal'})",0.0
E0,2023-12-31,14:00,Fulham,Arsenal,2,1,H,1,1,D,J Smith,15,13,4,3,11,10,5,4,4,1,0,0,5.25,4.5,1.55,5.5,4.1,1.58,5.5,4.3,1.57,5.94,4.29,1.57,5.5,4.2,1.53,5.75,4.0,1.53,6.2,4.5,1.62,5.74,4.29,1.57,1.73,2.08,1.77,2.13,1.83,2.16,1.76,2.1,1.0,1.91,1.99,1.93,1.98,1.94,2.02,1.9,1.97,6.0,4.0,1.57,5.75,4.1,1.57,5.75,4.2,1.57,5.78,4.22,1.61,6.0,4.2,1.5,6.0,4.2,1.55,6.66,4.53,1.63,5.92,4.22,1.58,1.85,2.05,1.83,2.06,1.88,2.13,1.81,2.04,1.0,1.89,2.04,1.87,2.06,2.02,2.07,1.89,1.98,3.0,1.4,"frozenset({'Fulham', 'Arsenal'})",1.0
